	left	lines	normal	right	split
0	-9.76910675954	-9.76656121565	-9.76	-9.76	-9.76641242921
1	-9.76314456909	-9.74099371456	-9.72	-9.05333495504	-9.76970215239
2	-9.74712344973	-9.76678032498	-9.68	-8.50879851974	-9.76988604131
3	-9.76658919053	-9.76911165595	-9.64	-8.23906434038	-9.76651845363
4	-9.76282604658	-9.76743709671	-9.6	-8.82466677562	-9.76977559811
5	-9.76669444471	-9.7632199321	-9.56	-8.07053301937	-9.75548649978
6	-9.76127425507	-9.76137815182	-9.52	-7.06215917849	-9.75140843823
7	-9.75559716874	-9.75696571088	-9.48	-8.66936259605	-9.76385080702
8	-9.76902955883	-9.76576939359	-9.44	-8.44169471044	-9.76906636962
9	-9.76964125177	-9.76957522447	-9.4	-6.79435809566	-9.76634932086
10	-9.76551652089	-9.76950412087	-9.36	-8.65500472706	-9.74787432385
11	-9.76574560563	-9.76863678206	-9.32	-7.96744920885	-9.76430033829
12	-9.72665416687	-9.76111480631	-9.28	-7.9240630115	-9.76764624698
13	-9.75298121952	-9.75981137785	-9.24	-7.97388374633	-9.75739792946
14	-9.71784513042	-9.76502041064	-9.2	-8.16277779034	-9.76103599027
15	-9.72458174876	-8.994384418	-9.16	-7.80928773284	-9.72503533892
16	-9.75948040742	-9.76816245095	-9.12	-7.64749934964	-9.7642508294
17	-9.75588770602	-9.7688826342	-9.08	-7.60835038739	-9.76412488881
18	-9.74947741577	-9.76812990992	-9.04	-7.97602415467	-9.76822503184
19	-9.75873575989	-8.88180690079	-9.0	-7.45362413848	-9.76735935569
20	-9.75284811576	-9.76522960406	-8.96	-7.51576084784	-9.76344238271
21	-9.75582780991	-9.5306237631	-8.92	-7.3893478218	-9.76514633183
22	-9.73324195009	-9.75195976989	-8.88	-7.38790557008	-9.71137706513
23	-9.75205952841	-9.76464366448	-8.84	-7.56980034784	-9.75807995913
24	-9.76863134184	-9.74048975837	-8.8	-7.08426176637	-9.76933224267
25	-9.75769294681	-9.74362374685	-8.76	-6.18781035373	-9.60395813582
26	-9.76059000094	-8.99957147161	-8.72	-7.3337033373	-9.76878230603
27	-9.41826266841	-9.76278635887	-8.68	-7.36964309804	-9.7648125867
28	-9.63809176247	-8.99899666231	-8.64	-8.09551523299	-9.76275503053
29	-9.7619425597	-9.76357598613	-8.6	-6.18879046513	-9.76793410928
30	-9.67544186604	-9.76280432075	-8.56	-6.90909654212	-9.75319920207
31	-9.76440173875	-9.76309046794	-8.52	-7.34980263161	-9.7676438136
32	-9.76541967176	-8.99910449236	-8.48	-6.76640831451	-9.75429296004
33	-9.75363231072	-8.98856777391	-8.44	-7.48014235901	-9.74666182651
34	-9.71302321703	-9.45752653923	-8.4	-7.21323854083	-9.76903398399
35	-9.73189858904	-8.99784486822	-8.36	-5.98646735105	-9.39696010188
36	-9.75456046684	-9.75385904905	-8.32	-6.92948299816	-9.70147375804
37	-9.66926275989	-8.99972342093	-8.28	-6.08461072765	-9.63078736461
38	-9.51091323216	-8.99643700026	-8.24	-6.44691112346	-9.74776595942
39	-9.74351234715	-8.99876509306	-8.2	-6.79774620883	-9.24131040272
40	-9.46247705142	-9.65298436163	-8.16	-5.60874723132	-9.57872984796
41	-9.65273487967	-8.97290187708	-8.12	-6.602600188	-9.75495247529
42	-9.76894205156	-9.70548449054	-8.08	-6.36625046752	-9.40232458209
43	-9.52798806193	-8.97036293724	-8.04	-7.04195982407	-9.08646846742
44	-9.5398360913	-8.93230390967	-8.0	-6.6585999695	-8.79267764924
45	-9.71939040437	-8.88780981096	-7.96	-6.33245428509	-9.56456475929
46	-9.53231870037	-8.99940247145	-7.92	-6.40504293339	-9.37946550247
47	-9.26159978698	-8.96800855641	-7.88	-6.88773269481	-8.99439589886
48	-9.38656807073	-8.98029107736	-7.84	-6.26760839625	-9.61536215743
49	-9.41621700801	-8.98851001301	-7.8	-6.07998662966	-9.12350729268
50	-9.19332990745	-8.99804009101	-7.76	-6.7641538272	-9.45437350426
51	-8.89948949224	-9.26407518955	-7.76	-6.19020354964	-9.45942877789
52	-9.72697636881	-8.89588277744	-7.72	-5.44663812103	-9.07209011176
53	-8.66890411111	-8.80135916013	-7.72	-6.59735331199	-9.05487256813
54	-9.23118202072	-8.47397749858	-7.68	-5.99165319224	-9.00639458021
55	-9.08541585679	-8.61664117764	-7.68	-6.70609600571	-9.67689808185
56	-8.98258254373	-8.96775809637	-7.64	-6.69695440245	-8.97333438179
57	-9.16009314236	-8.32104420875	-7.64	-5.44369628458	-9.76844910098
58	-9.00558045801	-8.53717962818	-7.6	-6.54453257831	-8.54443475472
59	-9.52435715814	-8.99487491148	-7.6	-6.729662182	-9.05145500766
60	-8.45649279162	-8.77681909282	-7.56	-6.55936817828	-9.43179792864
61	-9.15075509524	-8.56543929945	-7.56	-5.95156353037	-8.45176941694
62	-8.64817538971	-8.95885118611	-7.52	-6.02514724304	-9.20781585047
63	-8.46325146148	-8.83444673603	-7.52	-5.44252033756	-8.46275425675
64	-9.26420177901	-8.02777823655	-7.48	-5.75196299778	-8.96031849101
65	-9.03833995407	-8.68882563375	-7.48	-5.81102662655	-9.30371607087
66	-8.30155522739	-7.49984777439	-7.44	-6.04753716011	-9.15031314163
67	-9.41424479396	-7.43972501426	-7.44	-6.19633828515	-9.03893223429
68	-8.49466409813	-8.06904948255	-7.4	-5.11930302818	-8.60745364275
69	-9.22620898128	-8.96704158532	-7.4	-5.13440171213	-8.49132436529
70	-8.14062982394	-8.99930519646	-7.36	-5.61368134692	-8.16654346377
71	-8.46796179461	-9.41622923733	-7.36	-6.75159414089	-9.00850754686
