Plot	Values
left	-9.76910675954
lines	-9.76656121565
normal	-9.76
right	-9.76
split	-9.76641242921
left	-9.76314456909
lines	-9.74099371456
normal	-9.72
right	-9.05333495504
split	-9.76970215239
left	-9.74712344973
lines	-9.76678032498
normal	-9.68
right	-8.50879851974
split	-9.76988604131
left	-9.76658919053
lines	-9.76911165595
normal	-9.64
right	-8.23906434038
split	-9.76651845363
left	-9.76282604658
lines	-9.76743709671
normal	-9.6
right	-8.82466677562
split	-9.76977559811
left	-9.76669444471
lines	-9.7632199321
normal	-9.56
right	-8.07053301937
split	-9.75548649978
left	-9.76127425507
lines	-9.76137815182
normal	-9.52
right	-7.06215917849
split	-9.75140843823
left	-9.75559716874
lines	-9.75696571088
normal	-9.48
right	-8.66936259605
split	-9.76385080702
left	-9.76902955883
lines	-9.76576939359
normal	-9.44
right	-8.44169471044
split	-9.76906636962
left	-9.76964125177
lines	-9.76957522447
normal	-9.4
right	-6.79435809566
split	-9.76634932086
left	-9.76551652089
lines	-9.76950412087
normal	-9.36
right	-8.65500472706
split	-9.74787432385
left	-9.76574560563
lines	-9.76863678206
normal	-9.32
right	-7.96744920885
split	-9.76430033829
left	-9.72665416687
lines	-9.76111480631
normal	-9.28
right	-7.9240630115
split	-9.76764624698
left	-9.75298121952
lines	-9.75981137785
normal	-9.24
right	-7.97388374633
split	-9.75739792946
left	-9.71784513042
lines	-9.76502041064
normal	-9.2
right	-8.16277779034
split	-9.76103599027
left	-9.72458174876
lines	-8.994384418
normal	-9.16
right	-7.80928773284
split	-9.72503533892
left	-9.75948040742
lines	-9.76816245095
normal	-9.12
right	-7.64749934964
split	-9.7642508294
left	-9.75588770602
lines	-9.7688826342
normal	-9.08
right	-7.60835038739
split	-9.76412488881
left	-9.74947741577
lines	-9.76812990992
normal	-9.04
right	-7.97602415467
split	-9.76822503184
left	-9.75873575989
lines	-8.88180690079
normal	-9
right	-7.45362413848
split	-9.76735935569
left	-9.75284811576
lines	-9.76522960406
normal	-8.96
right	-7.51576084784
split	-9.76344238271
left	-9.75582780991
lines	-9.5306237631
normal	-8.92
right	-7.3893478218
split	-9.76514633183
left	-9.73324195009
lines	-9.75195976989
normal	-8.88
right	-7.38790557008
split	-9.71137706513
left	-9.75205952841
lines	-9.76464366448
normal	-8.84
right	-7.56980034784
split	-9.75807995913
left	-9.76863134184
lines	-9.74048975837
normal	-8.8
right	-7.08426176637
split	-9.76933224267
left	-9.75769294681
lines	-9.74362374685
normal	-8.76
right	-6.18781035373
split	-9.60395813582
left	-9.76059000094
lines	-8.99957147161
normal	-8.72
right	-7.3337033373
split	-9.76878230603
left	-9.41826266841
lines	-9.76278635887
normal	-8.68
right	-7.36964309804
split	-9.7648125867
left	-9.63809176247
lines	-8.99899666231
normal	-8.64
right	-8.09551523299
split	-9.76275503053
left	-9.7619425597
lines	-9.76357598613
normal	-8.6
right	-6.18879046513
split	-9.76793410928
left	-9.67544186604
lines	-9.76280432075
normal	-8.56
right	-6.90909654212
split	-9.75319920207
left	-9.76440173875
lines	-9.76309046794
normal	-8.52
right	-7.34980263161
split	-9.7676438136
left	-9.76541967176
lines	-8.99910449236
normal	-8.48
right	-6.76640831451
split	-9.75429296004
left	-9.75363231072
lines	-8.98856777391
normal	-8.44
right	-7.48014235901
split	-9.74666182651
left	-9.71302321703
lines	-9.45752653923
normal	-8.4
right	-7.21323854083
split	-9.76903398399
left	-9.73189858904
lines	-8.99784486822
normal	-8.36
right	-5.98646735105
split	-9.39696010188
left	-9.75456046684
lines	-9.75385904905
normal	-8.32
right	-6.92948299816
split	-9.70147375804
left	-9.66926275989
lines	-8.99972342093
normal	-8.28
right	-6.08461072765
split	-9.63078736461
left	-9.51091323216
lines	-8.99643700026
normal	-8.24
right	-6.44691112346
split	-9.74776595942
left	-9.74351234715
lines	-8.99876509306
normal	-8.2
right	-6.79774620883
split	-9.24131040272
left	-9.46247705142
lines	-9.65298436163
normal	-8.16
right	-5.60874723132
split	-9.57872984796
left	-9.65273487967
lines	-8.97290187708
normal	-8.12
right	-6.602600188
split	-9.75495247529
left	-9.76894205156
lines	-9.70548449054
normal	-8.08
right	-6.36625046752
split	-9.40232458209
left	-9.52798806193
lines	-8.9703629372399991
normal	-8.04
right	-7.04195982407
split	-9.08646846742
left	-9.5398360913
lines	-8.93230390967
normal	-8
right	-6.6585999695
split	-8.79267764924
left	-9.71939040437
lines	-8.88780981096
normal	-7.96
right	-6.33245428509
split	-9.56456475929
left	-9.53231870037
lines	-8.99940247145
normal	-7.92
right	-6.40504293339
split	-9.37946550247
left	-9.26159978698
lines	-8.96800855641
normal	-7.88
right	-6.88773269481
split	-8.99439589886
left	-9.38656807073
lines	-8.98029107736
normal	-7.84
right	-6.26760839625
split	-9.61536215743
left	-9.41621700801
lines	-8.98851001301
normal	-7.8
right	-6.07998662966
split	-9.12350729268
left	-9.19332990745
lines	-8.99804009101
normal	-7.76
right	-6.7641538272
split	-9.45437350426
left	-8.89948949224
lines	-9.26407518955
normal	-7.76
right	-6.19020354964
split	-9.45942877789
left	-9.72697636881
lines	-8.89588277744
normal	-7.72
right	-5.44663812103
split	-9.07209011176
left	-8.66890411111
lines	-8.80135916013
normal	-7.72
right	-6.59735331199
split	-9.05487256813
left	-9.23118202072
lines	-8.47397749858
normal	-7.68
right	-5.99165319224
split	-9.00639458021
left	-9.08541585679
lines	-8.61664117764
normal	-7.68
right	-6.70609600571
split	-9.67689808185
left	-8.98258254373
lines	-8.96775809637
normal	-7.64
right	-6.69695440245
split	-8.97333438179
left	-9.16009314236
lines	-8.32104420875
normal	-7.64
right	-5.44369628458
split	-9.76844910098
left	-9.00558045801
lines	-8.53717962818
normal	-7.6
right	-6.54453257831
split	-8.54443475472
left	-9.52435715814
lines	-8.99487491148
normal	-7.6
right	-6.729662182
split	-9.05145500766
left	-8.45649279162
lines	-8.77681909282
normal	-7.56
right	-6.55936817828
split	-9.43179792864
left	-9.15075509524
lines	-8.56543929945
normal	-7.56
right	-5.95156353037
split	-8.45176941694
left	-8.64817538971
lines	-8.95885118611
normal	-7.52
right	-6.02514724304
split	-9.20781585047
left	-8.46325146148
lines	-8.83444673603
normal	-7.52
right	-5.44252033756
split	-8.46275425675
left	-9.26420177901
lines	-8.02777823655
normal	-7.48
right	-5.75196299778
split	-8.96031849101
left	-9.03833995407
lines	-8.68882563375
normal	-7.48
right	-5.81102662655
split	-9.30371607087
left	-8.30155522739
lines	-7.49984777439
normal	-7.44
right	-6.04753716011
split	-9.15031314163
