left	lines	normal	right	split
-9.76910675954	-9.76656121565	-9.76	-9.76	-9.76641242921
-9.76314456909	-9.74099371456	-9.72	-9.05333495504	-9.76970215239
-9.74712344973	-9.76678032498	-9.68	-8.50879851974	-9.76988604131
-9.76658919053	-9.76911165595	-9.64	-8.23906434038	-9.76651845363
-9.76282604658	-9.76743709671	-9.6	-8.82466677562	-9.76977559811
-9.76669444471	-9.7632199321	-9.56	-8.07053301937	-9.75548649978
-9.76127425507	-9.76137815182	-9.52	-7.06215917849	-9.75140843823
-9.75559716874	-9.75696571088	-9.48	-8.66936259605	-9.76385080702
-9.76902955883	-9.76576939359	-9.44	-8.44169471044	-9.76906636962
-9.76964125177	-9.76957522447	-9.4	-6.79435809566	-9.76634932086
-9.76551652089	-9.76950412087	-9.36	-8.65500472706	-9.74787432385
-9.76574560563	-9.76863678206	-9.32	-7.96744920885	-9.76430033829
-9.72665416687	-9.76111480631	-9.28	-7.9240630115	-9.76764624698
-9.75298121952	-9.75981137785	-9.24	-7.97388374633	-9.75739792946
-9.71784513042	-9.76502041064	-9.2	-8.16277779034	-9.76103599027
-9.72458174876	-8.994384418	-9.16	-7.80928773284	-9.72503533892
-9.75948040742	-9.76816245095	-9.12	-7.64749934964	-9.7642508294
-9.75588770602	-9.7688826342	-9.08	-7.60835038739	-9.76412488881
-9.74947741577	-9.76812990992	-9.04	-7.97602415467	-9.76822503184
-9.75873575989	-8.88180690079	-9	-7.45362413848	-9.76735935569
-9.75284811576	-9.76522960406	-8.96	-7.51576084784	-9.76344238271
-9.75582780991	-9.5306237631	-8.92	-7.3893478218	-9.76514633183
-9.73324195009	-9.75195976989	-8.88	-7.38790557008	-9.71137706513
-9.75205952841	-9.76464366448	-8.84	-7.56980034784	-9.75807995913
-9.76863134184	-9.74048975837	-8.8	-7.08426176637	-9.76933224267
-9.75769294681	-9.74362374685	-8.76	-6.18781035373	-9.60395813582
-9.76059000094	-8.99957147161	-8.72	-7.3337033373	-9.76878230603
-9.41826266841	-9.76278635887	-8.68	-7.36964309804	-9.7648125867
-9.63809176247	-8.99899666231	-8.64	-8.09551523299	-9.76275503053
-9.7619425597	-9.76357598613	-8.6	-6.18879046513	-9.76793410928
-9.67544186604	-9.76280432075	-8.56	-6.90909654212	-9.75319920207
-9.76440173875	-9.76309046794	-8.52	-7.34980263161	-9.7676438136
-9.76541967176	-8.99910449236	-8.48	-6.76640831451	-9.75429296004
-9.75363231072	-8.98856777391	-8.44	-7.48014235901	-9.74666182651
-9.71302321703	-9.45752653923	-8.4	-7.21323854083	-9.76903398399
-9.73189858904	-8.99784486822	-8.36	-5.98646735105	-9.39696010188
-9.75456046684	-9.75385904905	-8.32	-6.92948299816	-9.70147375804
-9.66926275989	-8.99972342093	-8.28	-6.08461072765	-9.63078736461
-9.51091323216	-8.99643700026	-8.24	-6.44691112346	-9.74776595942
-9.74351234715	-8.99876509306	-8.2	-6.79774620883	-9.24131040272
-9.46247705142	-9.65298436163	-8.16	-5.60874723132	-9.57872984796
-9.65273487967	-8.97290187708	-8.12	-6.602600188	-9.75495247529
-9.76894205156	-9.70548449054	-8.08	-6.36625046752	-9.40232458209
-9.52798806193	-8.9703629372399991	-8.04	-7.04195982407	-9.08646846742
-9.5398360913	-8.93230390967	-8	-6.6585999695	-8.79267764924
-9.71939040437	-8.88780981096	-7.96	-6.33245428509	-9.56456475929
-9.53231870037	-8.99940247145	-7.92	-6.40504293339	-9.37946550247
-9.26159978698	-8.96800855641	-7.88	-6.88773269481	-8.99439589886
-9.38656807073	-8.98029107736	-7.84	-6.26760839625	-9.61536215743
-9.41621700801	-8.98851001301	-7.8	-6.07998662966	-9.12350729268
-9.19332990745	-8.99804009101	-7.76	-6.7641538272	-9.45437350426
-8.89948949224	-9.26407518955	-7.76	-6.19020354964	-9.45942877789
-9.72697636881	-8.89588277744	-7.72	-5.44663812103	-9.07209011176
-8.66890411111	-8.80135916013	-7.72	-6.59735331199	-9.05487256813
-9.23118202072	-8.47397749858	-7.68	-5.99165319224	-9.00639458021
-9.08541585679	-8.61664117764	-7.68	-6.70609600571	-9.67689808185
-8.98258254373	-8.96775809637	-7.64	-6.69695440245	-8.97333438179
-9.16009314236	-8.32104420875	-7.64	-5.44369628458	-9.76844910098
-9.00558045801	-8.53717962818	-7.6	-6.54453257831	-8.54443475472
-9.52435715814	-8.99487491148	-7.6	-6.729662182	-9.05145500766
-8.45649279162	-8.77681909282	-7.56	-6.55936817828	-9.43179792864
-9.15075509524	-8.56543929945	-7.56	-5.95156353037	-8.45176941694
-8.64817538971	-8.95885118611	-7.52	-6.02514724304	-9.20781585047
-8.46325146148	-8.83444673603	-7.52	-5.44252033756	-8.46275425675
-9.26420177901	-8.02777823655	-7.48	-5.75196299778	-8.96031849101
-9.03833995407	-8.68882563375	-7.48	-5.81102662655	-9.30371607087
-8.30155522739	-7.49984777439	-7.44	-6.04753716011	-9.15031314163
-9.41424479396	-7.43972501426	-7.44	-6.19633828515	-9.03893223429
-8.49466409813	-8.06904948255	-7.4	-5.11930302818	-8.60745364275
-9.22620898128	-8.96704158532	-7.4	-5.13440171213	-8.49132436529
-8.14062982394	-8.99930519646	-7.36	-5.61368134692	-8.16654346377
-8.46796179461	-9.41622923733	-7.36	-6.75159414089	-9.00850754686
-9.20998042393	-8.47393355353	-7.32	-4.79400488457	-9.07914802678
-9.3453664512	-7.47973353653	-7.32	-5.8598843643	-8.82528513044
-9.16059947276	-7.49998963662	-7.28	-6.13558270255	-8.50176137702
-9.34651701349	-7.49880816153	-7.28	-6.63349334018	-9.04789564016
-8.68645855766	-7.44094082835	-7.24	-4.99091599839	-8.29708157951
-8.53828511639	-7.48971891169	-7.24	-5.76622887914	-8.81067261712
-9.24893558512	-7.46161739503	-7.2	-4.77790450511	-8.46823888173
-8.5188931388	-8.56049171251	-7.2	-5.56306472043	-8.53186005789
-8.66401302944	-7.49441451136	-7.16	-5.92332922285	-9.61197408743
-9.28822847546	-7.49937076103	-7.16	-5.90944508198	-8.69503792313
-9.32714083266	-7.49696366345	-7.12	-5.58511585362	-7.79815456379
-9.31004299682	-7.49998748038	-7.12	-5.15231528895	-8.24750964083
-8.68650302321	-7.58189178794	-7.08	-5.30406393868	-8.72512276314
-7.89646900285	-7.49965966923	-7.08	-6.44494587225	-8.89733079914
-7.69275885146	-8.65377740608	-7.04	-6.35177171223	-8.36141714236
-8.29966632737	-7.49902976461	-7.04	-6.1244475138	-8.25772975047
-8.43785750036	-7.92101623761	-7	-5.57253997156	-7.41272434768
-8.78629686972	-8.13809145586	-7	-5.90613428836	-8.8981017263
-8.09833139236	-8.85367624164	-6.96	-4.72731052771	-8.14696234198
-8.36124013848	-8.68407926657	-6.96	-4.22417126761	-8.82937183581
-8.11879769854	-8.59530615915	-6.92	-4.64368560418	-8.33940784225
-8.83753293267	-7.49965485448	-6.92	-5.57984792226	-7.90105954554
-8.76167699562	-7.36649646301	-6.88	-4.66813156966	-8.13711179321
-8.41795796795	-7.46445806898	-6.88	-5.73017686037	-9.17948640042
-9.17868175647	-8.57285901184	-6.84	-4.47481745422	-8.49984630891
-8.86146827887	-8.56973633029	-6.84	-5.39579857722	-8.56510926544
-8.19138730758	-8.41930374684	-6.8	-5.18749248757	-8.01587087432
-7.84714436395	-7.49393576401	-6.8	-5.70631427543	-7.85214217523
-8.27851025777	-7.49999398169	-6.76	-5.17823066089	-7.61528827363
-7.81749969656	-8.05600099622	-6.76	-4.44110640757	-8.84550475237
-8.41733242223	-7.49657425355	-6.72	-5.01294067152	-7.80469383332
-8.52661467375	-7.81654758641	-6.72	-5.56363994963	-7.86466145951
-8.19352179634	-7.48045425202	-6.68	-5.37874784967	-8.40008614355
-8.28472683754	-7.49747003998	-6.68	-4.65985857377	-8.57985626384
-7.7613425596	-7.49752325692	-6.64	-4.73002829313	-7.65428146395
-7.67853136083	-8.38712976325	-6.64	-4.8629375152	-8.00713987661
-7.68960046282	-7.49832544191	-6.64	-4.788538233	-8.14815512611
-7.84040597133	-8.13394122044	-6.6	-5.47541905859	-9.05450769648
-8.23322642717	-7.45751483032	-6.6	-5.38079041979	-8.12729489842
-8.58036456666	-7.75585748988	-6.6	-5.59121076802	-8.18227783957
-7.83640775825	-7.49976982104	-6.56	-5.52824347216	-8.52158517414
-8.51949620001	-7.49116628769	-6.56	-4.94075985232	-7.834398281
-7.50006359908	-8.17838646409	-6.56	-4.16306752988	-8.43118876756
-7.13690395028	-7.48821944844	-6.52	-5.3830050215	-7.7390236287
-7.7140926885	-7.49980091266	-6.52	-5.6340508475	-7.99236755431
-8.08391429453	-7.72842306439	-6.52	-4.71017714089	-8.15908218374
-7.65982073916	-7.48456516358	-6.48	-5.13415503557	-7.76877852598
-7.9149718914	-7.46925925088	-6.48	-5.23559712769	-7.63320854085
-7.99617702761	-7.49927279716	-6.48	-5.19582800638	-7.97051786617
-7.27964096362	-7.49760268508	-6.44	-4.28972934516	-7.51298265551
-9.30832391978	-8.66923241574	-6.44	-5.73982699036	-7.53576779882
-7.90508915138	-8.00547784104	-6.44	-5.57619248999	-7.98062377757
-7.85229266007	-7.47065591751	-6.4	-5.57792633026	-7.22382017691
-8.73601105505	-7.49934623107	-6.4	-5.30398987139	-7.56980175345
-7.95129667939	-7.93960542265	-6.4	-4.55675896502	-7.89246068758
-7.75684558711	-7.44367151702	-6.36	-5.00492445244	-7.15391416512
-7.65128925214	-7.49998485422	-6.36	-4.23388693201	-8.43124863132
-7.37857202176	-7.45336946475	-6.36	-4.47602905461	-8.26656417177
-8.55409390785	-7.46491442285	-6.32	-3.99011873091	-7.69647344995
-7.97351907964	-7.48690016464	-6.32	-5.07481500376	-7.60247751782
-8.30901379957	-7.49930861322	-6.32	-5.32714669234	-7.64052130684
-8.08175146647	-7.49194117448	-6.28	-4.53628214617	-9.04269797777
-7.58097819346	-7.49998709039	-6.28	-4.28977779911	-8.20694373208
-7.65589872198	-8.20185985719	-6.28	-3.82353407106	-7.64462096187
-8.01598581626	-7.48018767924	-6.24	-4.7764669726	-7.74467499683
-7.33905179792	-7.4932828182	-6.24	-4.81012201172	-7.55105389284
-8.82199923401	-7.3022269952	-6.24	-4.80485491008	-8.28426597163
-7.53662981048	-7.49993194771	-6.2	-4.74205083734	-7.7050984297
-7.36294561922	-7.34244661893	-6.2	-4.73605390538	-7.1828976976
-8.110400273	-7.49992057053	-6.2	-4.0900310683	-7.47006279611
-7.21449377579	-7.49886381273	-6.16	-4.94852449125	-7.16757160844
-7.72235547806	-7.44363786978	-6.16	-4.95247446681	-7.86375357165
-7.87962481445	-7.4940837576	-6.16	-4.00900905236	-8.9179358222
-7.25219423082	-7.43836495544	-6.12	-5.23818503616	-8.40410985936
-7.91508956743	-7.78401967019	-6.12	-4.18882959536	-8.14102826177
-7.42932325058	-7.41331869412	-6.12	-4.40722615108	-8.0676766963
-7.41721930308	-7.49702377967	-6.08	-4.82575839863	-7.63191531534
-7.22533851418	-7.49764853742	-6.08	-4.65813408192	-8.67363410486
-6.98084758811	-7.34453273876	-6.08	-3.80820552989	-7.26122936395
-6.78577466347	-7.49496761012	-6.04	-4.14283780559	-7.05181829868
-7.32794298874	-7.10008064747	-6.04	-5.20949907683	-7.70860590208
-7.49991593271	-7.48696080446	-6.04	-4.57753532402	-7.57416949378
-7.46179356428	-6.72667560663	-6	-4.09516939286	-7.90317988966
-7.72288151824	-6.81889354497	-6	-3.88657072093	-7.65193045859
-7.26493304476	-7.49451321722	-6	-3.78240815082	-7.74198057554
-7.63224416111	-6.89295053663	-5.96	-4.30182615031	-7.10701804027
-7.15816493401	-6.65640942327	-5.96	-4.35441510908	-7.18141276481
-7.41040188596	-6.95974123354	-5.96	-4.44977796348	-7.01573943204
-7.31551301698	-7.16694895172	-5.92	-4.82090446746	-7.07605229979
-7.39381129072	-7.49978737715	-5.92	-4.06426310569	-7.21557171037
-7.50765247768	-6.49480714334	-5.92	-4.9433466492000004	-7.78002351281
-7.17214757869	-6.98471442533	-5.88	-4.53670819968	-8.27908693084
-7.71390971332	-7.49439258041	-5.88	-4.7842393663	-7.11557362138
-7.32038877282	-7.49644208181	-5.88	-4.65603792196	-6.90374909406
-6.46886713136	-7.25674547054	-5.84	-4.47755519781	-7.74534578787
-7.29211605443	-5.99987387368	-5.84	-4.17473384452	-8.07694997274
-7.35521473307	-5.99989598461	-5.84	-4.24933742345	-7.63118290451
-7.08881028199	-6.45355745695	-5.8	-4.26296674531	-7.37191400142
-8.38586881172	-6.74485094708	-5.8	-4.31521330111	-7.39990050242
-7.2879870516	-7.06883239915	-5.8	-4.44029885378	-7.84277648624
-7.11058928338	-5.97076015881	-5.76	-4.84928778741	-7.32443092559
-8.27385392133	-6.52427478009	-5.76	-5.07221222875	-7.39169409716
-6.53682938558	-7.19115125865	-5.76	-4.76521220638	-6.91876495736
-7.18465857967	-5.76654785065	-5.76	-4.66963577388	-6.89398972616
-6.56861506899	-5.99376949123	-5.72	-3.72045407869	-6.52398751727
-6.73004277776	-5.99851942111	-5.72	-4.7125263078	-7.07722759886
-6.67758054311	-6.47476202499	-5.72	-4.39011079775	-6.79465089646
-7.11931809566	-7.49918475242	-5.72	-4.33686057526	-7.84573735661
-7.14385488424	-5.9985289368	-5.68	-4.28489778144	-6.90090902187
-7.77135444419	-5.99879153712	-5.68	-4.83852929565	-7.14571245867
-7.30526543976	-7.42621596888	-5.68	-4.01522752829	-7.40077227344
-6.77529909809	-7.36282259182	-5.68	-4.65662704248	-7.32348785485
-6.89047326868	-5.99981345391	-5.64	-3.31277041047	-7.22835297242
-7.30284317384	-7.08921035929	-5.64	-5.12959012084	-7.10928412737
-6.85638833463	-7.35482469764	-5.64	-4.40989167414	-6.695750497
-7.78017538254	-6.99119757341	-5.64	-4.19762883822	-6.89513696347
-7.25337754966	-5.99932380702	-5.6	-3.60937245271	-6.86454169019
-7.31530050715	-5.99946220216	-5.6	-4.10264119674	-7.18477706387
-8.28350817059	-5.99522681815	-5.6	-4.43228006716	-6.92188847704
-6.85037553324	-5.98730530732	-5.6	-4.12131981756	-7.57195247493
-7.72657074433	-5.9922997108	-5.56	-4.34320364667	-7.10154185059
-7.15271332968	-6.07713527178	-5.56	-3.77258234866	-7.39842400311
