simpson_1	simpson_1	simpson_2	simpson_2
x	y	x	y
55.7909718157	69.9365934283	62.2434387845	70.6083992107
47.2282091405	14.7561070913	52.3349883891	14.705772721
57.2468738451	51.4617618588	56.3679472613	46.3955379223
70.8319847999	65.5199077407	66.803945776	66.1748679006
73.3670855496	91.5959640491	66.5360509146	89.2465806107
69.9744916206	94.9394275208	62.3812860623	91.4525971096
40.1049144627	9.58672855908	38.8538312261	6.76356023684
46.306867762	63.0790021629	39.406283311	63.0623946578
63.5118905297	91.3188400408	60.8981909102	92.5623698523
61.3784207464	51.9097664689	56.6229264798	45.7571594797
24.4368259537	4.28624078996	29.8892499219	6.58005362491
28.4162104994	5.46796845638	32.0738634721	14.1531733612
41.6293918156	52.1743334507	41.8251847374	55.4824261842
40.9624624616	7.50677488138	36.5054087766	10.1583095333
50.4048080182	40.9862915909	53.1207576225	44.3026622909
28.064915354	20.6178017531	25.5507775105	20.7388200832
78.3457430124	91.1442756985	71.8051997136	86.4814775815
48.576498562	23.373489831	46.241269306	20.5221321867
68.1415063219	57.0886856283	71.7811928334	61.1889632284
35.1771191716	21.2889005583	32.3997881671	14.3716866939
60.277198436	57.723872583	67.2542810388	65.6079688069
69.0733755677	77.2059289324	73.1173865281	81.1790691518
54.9438297151	32.941989407	58.5481223323	38.8110033112
41.8482124647	44.5883095101	44.1040888097	53.1190517597
29.441699163	5.73279918759	33.2811110226	12.0553165165
34.3192687687	21.9333645175	32.6388495005	14.5171409112
54.6812364909	95.4787598334	54.267778726	99.8395673578
50.830247166	32.553562636	42.2532299599	24.9070402084
36.4001855327	12.9287725207	34.7631479916	11.7823025614
40.0448949588	34.973472985	36.7126557379	30.1412965999
67.6124652252	49.3027674007	74.2780204	59.1457798012
45.9721509763	23.6637085192	45.8759868214	21.2935901672
57.8424149318	58.6383610501	65.8825274299	67.4254917282
51.6168124814	64.531431227	59.4085715643	74.0718570333
38.3860154463	29.6439075432	36.9961633817	30.0184640143
82.46724168	95.6593486437	76.360458386	89.4428072999
22.8861602963	1.0	29.7532455837	3.38317380619
79.4263516761	99.0	76.9137545243	93.5117462759
55.807633571	79.0912662501	55.6786939951	77.2130568796
49.6447592807	31.6975833729	41.7722531422	25.1190637512
28.7071929512	19.1777034365	27.4284354919	17.3015587512
45.6904410065	56.6153334155	47.3907588332	55.0957073772
49.9355452399	38.8000604975	52.744587949	44.724394731
57.6524875514	67.6529109488	63.369799707	69.8765380012
61.8960294968	46.3373451262	57.8921037446	43.4549078015
48.4714332864	44.8087250029	51.4648195016	46.1656865287
64.8693862824	92.7846809099	60.3103259212	93.7468247846
48.5282435828	38.7781932107	55.4054060507	46.69509542
38.9816975616	56.6971386306	37.1541581884	60.0937379901
22.1525466166	1.87126319037	26.7244644531	4.42829464175
38.8887808577	32.8430633079	35.6449082971	31.4393232129
55.0247203448	68.0577628337	57.3638919209	75.9589794967
62.6428692695	84.1675315407	66.9698602814	86.1463865097
54.987996807	81.897232613	54.7999369653	78.2343750439
67.0054190547	93.1570846804	64.7300366558	89.4095394979
50.3530481629	44.5909244275	56.0674829356	42.1332743252
46.4315061577	35.5709442115	37.8543879494	29.2860374154
41.4966700091	33.2331654025	36.6090288878	30.5739213437
45.571870558	48.93801295	49.943826149	48.5704114132
59.5518487262	43.0408745162	54.986179506	42.7800379869
50.3666439178	48.9957895476	49.3299344982	51.1400468911
59.5083922835	67.2231679587	64.8049315703	68.025548052
48.7454943377	66.8406774566	58.1189953269	74.7935860661
50.5354363801	18.1964864096	47.8767910559	18.8551281024
29.3169060269	6.35268465503	34.4825499887	12.2917200025
62.8086406129	93.993079221	62.2516201137	91.4087280245
85.057792881	79.4131993797	81.028199774	72.53857096
34.2946169945	7.06898620271	38.0835688653	9.04370934353
33.3845809961	11.7978607101	31.7523760116	14.1949435576
72.3038815182	94.7885696826	66.6850466715	87.7892763952
38.9496288838	9.81915009164	35.77453456	10.7387967406
71.0085263017	81.0677514043	72.4479913643	81.6972689607
31.2028861704	1.0	35.4114695455	9.66314824078
44.658260858	19.3585031044	43.2933962176	23.7688888235
35.6248907864	26.4140627705	37.5257019915	29.6828217583
59.341379739	63.8125493473	65.2802820152	68.0822569128
60.2196498836	79.8285218722	69.9248804645	83.2387053847
58.7258632446	74.3630687968	58.2316075851	74.7684144035
42.3845648942	55.5576739181	42.4241820105	57.1447689952
64.9353102974	80.3475669854	66.7097007553	86.2677202689
49.5564587021	50.6937867532	46.766168213	50.922139871
72.6187112418	81.4728024583	74.0248646709	79.0417735273
33.4052196482	22.9983279399	27.2623316124	18.2963375756
48.6874414786	38.553136122	53.0600562461	44.7161667644
43.3767323014	49.8525614091	48.006908225	49.5084048396
58.1384982868	73.7567022368	59.0516319048	74.1156533681
66.8308084448	73.8965570812	71.9780561091	82.8536317777
41.836547671	26.0960551519	42.4845265532	24.5057754935
30.9737261557	16.3020143457	30.3456790514	16.2682633547
46.1230612646	33.8957370514	41.1668213592	25.729167193
54.9207537753	55.9941341333	49.9426346305	52.2716948372
42.4719345739	22.3160191432	44.9644863501	22.1872086659
31.7340349528	26.19768637	26.373668624	20.6777941288
59.6602530193	71.1389296118	59.7351278459	73.3419083703
72.1304361508	92.9543761661	64.9617222145	88.8782400035
62.3554065495	66.1313980943	64.8210465863	68.0382164226
29.8253702113	8.27481322951	35.3645105444	10.9472193759
52.8836434474	62.615927985	60.4077132408	72.4841458308
32.9291416157	5.29019601905	36.5491391031	8.20967528844
41.4051061082	33.1126892915	35.6051194399	31.4946993312
30.2919147933	1.15230198196	35.0363432907	5.03570481684
37.6451237763	33.9215574513	38.7775178566	28.3606348292
84.9970089944	97.7031353202	83.0185029285	92.741863979
56.6641126118	65.8990861195	63.9842995247	68.833868945
36.8220446576	13.4137085719	34.1981547589	12.275111337
35.2743113947	12.1660304542	37.4760023503	9.66236878702
32.2554489511	5.52690352418	36.3494739512	10.7070247734
