dataset	x	y
simpson_1	55.7909718157	69.9365934283
simpson_1	47.2282091405	14.7561070913
simpson_1	57.2468738451	51.4617618588
simpson_1	70.8319847999	65.5199077407
simpson_1	73.3670855496	91.5959640491
simpson_1	69.9744916206	94.9394275208
simpson_1	40.1049144627	9.58672855908
simpson_1	46.306867762	63.0790021629
simpson_1	63.5118905297	91.3188400408
simpson_1	61.3784207464	51.9097664689
simpson_1	24.4368259537	4.28624078996
simpson_1	28.4162104994	5.46796845638
simpson_1	41.6293918156	52.1743334507
simpson_1	40.9624624616	7.50677488138
simpson_1	50.4048080182	40.9862915909
simpson_1	28.064915354	20.6178017531
simpson_1	78.3457430124	91.1442756985
simpson_1	48.576498562	23.373489831
simpson_1	68.1415063219	57.0886856283
simpson_1	35.1771191716	21.2889005583
simpson_1	60.277198436	57.723872583
simpson_1	69.0733755677	77.2059289324
simpson_1	54.9438297151	32.941989407
simpson_1	41.8482124647	44.5883095101
simpson_1	29.441699163	5.73279918759
simpson_1	34.3192687687	21.9333645175
simpson_1	54.6812364909	95.4787598334
simpson_1	50.830247166	32.553562636
simpson_1	36.4001855327	12.9287725207
simpson_1	40.0448949588	34.973472985
simpson_1	67.6124652252	49.3027674007
simpson_1	45.9721509763	23.6637085192
simpson_1	57.8424149318	58.6383610501
simpson_1	51.6168124814	64.531431227
simpson_1	38.3860154463	29.6439075432
simpson_1	82.46724168	95.6593486437
simpson_1	22.8861602963	1.0
simpson_1	79.4263516761	99.0
simpson_1	55.807633571	79.0912662501
simpson_1	49.6447592807	31.6975833729
simpson_1	28.7071929512	19.1777034365
simpson_1	45.6904410065	56.6153334155
simpson_1	49.9355452399	38.8000604975
simpson_1	57.6524875514	67.6529109488
simpson_1	61.8960294968	46.3373451262
simpson_1	48.4714332864	44.8087250029
simpson_1	64.8693862824	92.7846809099
simpson_1	48.5282435828	38.7781932107
simpson_1	38.9816975616	56.6971386306
simpson_1	22.1525466166	1.87126319037
simpson_1	38.8887808577	32.8430633079
simpson_1	55.0247203448	68.0577628337
simpson_1	62.6428692695	84.1675315407
simpson_1	54.987996807	81.897232613
simpson_1	67.0054190547	93.1570846804
simpson_1	50.3530481629	44.5909244275
simpson_1	46.4315061577	35.5709442115
simpson_1	41.4966700091	33.2331654025
simpson_1	45.571870558	48.93801295
simpson_1	59.5518487262	43.0408745162
simpson_1	50.3666439178	48.9957895476
simpson_1	59.5083922835	67.2231679587
simpson_1	48.7454943377	66.8406774566
simpson_1	50.5354363801	18.1964864096
simpson_1	29.3169060269	6.35268465503
simpson_1	62.8086406129	93.993079221
simpson_1	85.057792881	79.4131993797
simpson_1	34.2946169945	7.06898620271
simpson_1	33.3845809961	11.7978607101
simpson_1	72.3038815182	94.7885696826
simpson_1	38.9496288838	9.81915009164
simpson_1	71.0085263017	81.0677514043
simpson_1	31.2028861704	1.0
simpson_1	44.658260858	19.3585031044
simpson_1	35.6248907864	26.4140627705
simpson_1	59.341379739	63.8125493473
simpson_1	60.2196498836	79.8285218722
simpson_1	58.7258632446	74.3630687968
simpson_1	42.3845648942	55.5576739181
simpson_1	64.9353102974	80.3475669854
simpson_1	49.5564587021	50.6937867532
