bullseye	bullseye	circle	circle	dots	dots	h_lines	h_lines	high_lines	high_lines	slant	slant	slant_down	slant_down	slant_up	slant_up	star	star	v_lines	v_lines	wide_lines	wide_lines	x_shape	x_shape
x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y	x	y
72.4142038529	81.72875126	62.8897705352	76.92754854	72.056320504	79.6297666969	73.7673176992	89.8040548596	64.8185804356	89.9333781036	65.2497991023	80.3818734121	66.8128265439	82.2947277438	67.3135320079	99.2861952704	60.0195305423	86.2054459107	70.3647776158	85.2857007079	90.3186900701	86.1028597102	74.8392876308	68.4806620382
69.9039736658	40.7656954592	83.7537635774	45.509281152	75.2048287563	46.2158372953	78.0025369513	46.197793235	86.1144972145	29.6307399262	79.6045044614	43.4097222233	86.6637375655	45.3224018038	77.9074641798	45.605979653	70.8022976367	40.503232352	89.8591452064	43.4501293797	90.4787187462	33.938602591	75.899568447	30.8428076941
36.5753118043	44.0969342472	30.6918785125	29.622466462	24.8511639279	46.1995239996	25.2395277887	46.1970875982	32.9741607917	29.6287546224	31.3421091514	41.8262917123	33.1734943748	38.0939981404	30.5804434367	31.3230497387	43.7368006505	46.4740063039	30.1374876584	44.2069962445	9.78650315092	44.3275117584	43.2359612661	29.296989927
52.8817884948	29.3314463024	30.5666375359	29.9191350255	49.2747420462	29.5454483631	51.9131126684	30.3733699475	52.8186470083	29.6323258634	52.8870780644	31.2783201553	41.5876202143	29.886322246	53.1412241517	22.7205185617	51.9911326099	28.1675623141	49.7715416865	35.3112048325	53.5502736906	31.6670163702	49.1309767834	36.298617779
68.1415535023	59.6037566211	63.9497338353	66.7511943957	53.7340654037	49.9742186521	61.1580750105	50.0980044179	54.359291067	46.2410748711	54.2637860229	49.8154312865	55.0421159155	46.2588677393	54.2269247815	52.2758282313	43.4908124688	47.0525733977	53.7991261514	53.6730346105	64.0993298242	48.4844368791	59.6945716877	50.7424424503
55.4880158794	84.0848230319	63.973302056	77.2877662506	53.7354403092	80.4284481769	61.0686572576	89.8895877441	56.6191148843	90.0171446741	60.2856234441	87.4356704623	60.3114127156	88.2020072343	63.0669082296	93.2211293608	57.4057377061	88.1558183448	53.7956592717	84.0020676882	64.1010426685	88.9704901592	75.3253655161	69.8744109701
38.8600679208	13.9741315869	34.7599807804	25.0136627028	45.1897867147	20.1639328808	40.0296091502	9.93797499476	40.6562146429	9.7416029463	43.3859499505	14.4341005043	36.5769655388	13.4549917922	41.7847568428	12.8493794971	39.414205987	17.6684887372	45.8812250452	17.8439386197	9.69088447523	19.6970657309	36.4593114168	20.558922009
82.8416372258	25.1581002763	74.3019409562	25.7800478388	74.0124428861	17.9055521495	72.7400724083	29.7038022985	71.5927221979	10.1377598149	72.2719941209	26.5963575652	73.2232093347	26.3583144227	73.6339549692	25.0461381361	73.5450279198	28.7854164454	70.4371048891	21.9094843986	90.1221506827	29.3583612362	77.7405576485	27.7735067169
33.2054293613	17.7500690332	39.9293915413	22.4796177988	22.2702739583	20.4078260199	30.5147563765	9.8747015951	40.4487572693	10.1090490632	33.6668525501	5.39969623814	36.565152018	12.4768937524	36.4220691511	6.1714084213	39.7647633474	19.1739539703	29.9573880925	3.62885417463	9.76175444057	14.3862717885	23.8713465317	5.39168298716
