dataset	x	y
slant	65.2497991023	80.3818734121
slant	79.6045044614	43.4097222233
slant	31.3421091514	41.8262917123
slant	52.8870780644	31.2783201553
slant	54.2637860229	49.8154312865
slant	60.2856234441	87.4356704623
slant	43.3859499505	14.4341005043
slant	72.2719941209	26.5963575652
slant	33.6668525501	5.39969623814
slant	61.5459350672	31.0489656296
slant	47.138241688	26.7495939707
slant	42.4714502115	63.070319005
slant	78.5347248803	76.7284494842
slant	57.1176315681	68.3233350818
slant	39.3683052928	57.3481448332
slant	87.149805517	57.0971323103
slant	83.8678042122	90.5051457633
slant	55.7663806259	8.6888179471
slant	47.0176954472	61.2270187283
slant	72.4861782202	47.9877392942
slant	45.2276805752	92.0723693814
slant	41.7003275847	14.0219598235
slant	44.6439155683	60.5889586942
slant	49.7423401581	53.9690541666
slant	56.1213206005	81.0569766394
slant	58.1792288609	56.8054794652
slant	62.8155813447	75.1705329159
slant	55.260420032	37.8733990471
slant	48.439965815	44.0339683769
slant	31.9344795339	8.56988494242
slant	61.3926581368	29.6750368361
slant	81.5840496376	88.7460050809
slant	63.5596041464	12.7717311268
slant	50.1185854501	83.3714927504
slant	52.316461897	65.7505604096
slant	34.5602758643	92.601427282
slant	42.7616885528	86.9644443227
slant	64.1112132083	97.0241743853
slant	69.7553397049	70.9579698042
slant	68.3173818542	67.885687055
slant	59.2581808443	33.2256040173
slant	30.6880647283	31.8170470289
slant	53.9317996538	85.3865445554
slant	44.8050377252	22.6987372585
slant	39.8316284819	39.6213794448
slant	54.2261512489	68.3000890559
slant	64.6525019627	41.1435973982
slant	49.0438595208	42.9555725563
slant	80.9207582219	60.1244235979
slant	50.3193301987	42.1121869369
slant	57.6416201395	84.2406303119
slant	42.1029335967	38.4957429771
slant	47.7436373804	56.5062985216
slant	61.0346068127	26.0737305291
slant	27.9781288537	7.66815961724
slant	49.6106350071	70.8548717332
slant	35.7743082965	88.4866299688
slant	63.5436367972	59.4623115581
slant	66.7242052801	43.6330950601
slant	78.1295000171	31.5554036332
slant	50.3449670891	33.8075445162
slant	61.7671934488	22.7723184176
slant	62.5540261425	0.988793884246
slant	64.7176835559	44.0360977049
slant	50.1904861261	69.4430883802
slant	40.7257338923	15.9110002842
slant	19.5111256951	40.5254075186
slant	17.2757496846	43.9042051485
slant	19.0987441501	15.9098818674
slant	57.8196482564	14.6455302081
slant	77.9447182338	98.3558999444
slant	67.5152547813	32.4815461847
slant	66.3944897635	7.68426897046
slant	81.13760725	48.7354871815
slant	60.0343851145	43.5893183244
slant	56.7049700568	43.6290549111
slant	44.9146813375	43.1372264189
slant	49.5307512712	23.4993456399
slant	78.3074289111	56.8292862332
slant	73.7452822404	38.9279294466
slant	34.0151832414	41.3483492829
slant	39.1241989616	24.934955541
slant	59.9921705382	0.583460384601
slant	56.0541713663	31.7703885683
slant	51.2370263755	59.285146518
slant	60.4527852565	48.6849870551
slant	46.7752951104	72.0445407841
slant	43.128286031	27.5122473508
slant	69.6362220853	47.6185225257
slant	46.4709841814	5.21476901715
slant	52.3864641734	55.0080239919
slant	64.2629374002	8.42485404019
slant	25.9372409847	13.9394376553
slant	54.7127776986	27.1983258631
slant	62.8591383541	32.2444123718
slant	60.5412793272	1.98201266252
slant	39.2555191053	3.23484009237
slant	59.5333940207	29.5129682368
slant	37.1677812428	77.9227566101
slant	46.7729666217	49.9101790273
slant	26.0590798262	23.5767461803
slant	45.642333901	46.1606149737
slant	77.1184352257	92.1524073907
slant	41.3971055659	16.3395327685
slant	67.6237266365	55.3555230436
slant	78.6944284536	91.0519005025
slant	44.1914003424	60.3477148741
slant	56.4321635388	18.5019042466
slant	63.9154408733	55.5715864741
slant	55.3430884226	50.6588161179
slant	50.3527426877	18.4425859785
slant	64.410453894	74.7016847088
slant	67.8537006216	90.9782943002
slant	36.0668525678	46.7771018934
slant	66.8847012287	86.597929143
slant	48.1322033888	74.1680443399
slant	57.9877595341	46.3640224394
slant	57.279473983	39.2244044428
slant	42.7317067706	27.1053007737
slant	41.3433769218	17.5565871076
slant	54.5300116922	45.1212923634
slant	36.2615304473	47.1868575228
slant	45.89536139	43.0091090793
slant	36.7428693581	21.318797784
slant	44.2730279654	43.0976170646
slant	90.8189821192	52.9117912654
slant	50.2495137191	22.5105551702
slant	34.5302742892	55.1525286173
slant	52.2933015779	39.0275321146
slant	60.3723009041	59.4480651933
slant	70.9826609713	73.9097293958
slant	69.3511769343	69.6848425533
slant	64.7606448508	87.5143671854
slant	37.5739383201	68.2599582353
slant	50.3719234268	18.8511111632
slant	58.6103385138	25.3264185715
slant	60.974068899	52.1737161474
slant	51.2716198477	17.7989003539
slant	32.5306118335	35.1442358024
slant	67.0286227706	73.7120880682
slant	71.8231621294	51.801994236
slant	51.7258753296	88.2598907844
slant	58.8293506485	59.1523350502
slant	47.8245168621	30.3736430952
slant	58.7120492807	53.4741104036
slant	58.4273620799	98.8086066907
slant	84.7671857056	78.3829828693
slant	53.5371603018	37.2178686292
slant	52.3698071509	90.0798651909
slant	36.6424287184	14.1205994871
slant	53.1898904001	36.31819696
slant	22.9556917312	3.28795271471
slant	51.4897928186	66.2761429234
slant	17.4726406031	26.3816538233
slant	56.1119002815	64.973613647
slant	48.66259658	25.1442381682
slant	35.0097546447	61.8414463794
slant	62.0582574774	40.5892174066
slant	42.7602301599	65.5735927972
slant	51.7819495499	69.1587743442
slant	39.7684052539	46.2641493457
slant	49.9037438242	51.5643036666
slant	65.9508065333	81.54311104
slant	45.7255676885	17.6088516715
slant	73.2476800243	76.3457223656
slant	64.7406276978	56.8564285768
slant	39.6911524411	21.5543827363
slant	65.1849858944	42.3342953927
slant	46.4543030372	42.1013187786
slant	85.1014120196	49.879922604
slant	56.8076429645	61.3912422242
slant	62.089831145	43.2953528917
slant	50.3739521609	52.7076059349
slant	65.9897949653	78.1267826946
slant	47.4033148956	71.7343964656
slant	65.2987403534	44.2958416221
slant	49.3171390944	98.5149448495
slant	71.1123423883	68.8231486421
slant	52.313818423	27.8787342702
slant	64.0379035674	35.5295377024
slant	45.2692918023	50.6774651068
slant	34.5734013121	29.761074167
h_lines	73.7673176992	89.8040548596
h_lines	78.0025369513	46.197793235
h_lines	25.2395277887	46.1970875982
h_lines	51.9131126684	30.3733699475
h_lines	61.1580750105	50.0980044179
h_lines	61.0686572576	89.8895877441
h_lines	40.0296091502	9.93797499476
h_lines	72.7400724083	29.7038022985
h_lines	30.5147563765	9.8747015951
h_lines	54.1227908548	30.4087470379
h_lines	46.5138701346	29.9200723824
h_lines	41.4490368598	67.9342323587
h_lines	80.2705558813	70.3097664673
h_lines	63.0964666349	70.2332272687
h_lines	47.8412467791	50.2937218015
h_lines	83.6563422451	50.336318994
h_lines	76.3684981592	89.6584896158
h_lines	54.8083888091	9.88808513244
h_lines	46.0035894774	67.9171393117
h_lines	76.9471241873	49.9247075797
h_lines	47.5441609969	89.8859993613
h_lines	40.0214762234	10.1626954388
h_lines	39.2006630746	67.9323701479
h_lines	44.8887821844	49.9727005255
h_lines	55.3171961926	90.1438813932
h_lines	54.9871874859	49.7546583421
h_lines	57.5378770899	69.6982390419
h_lines	63.6631138713	30.4721412621
h_lines	51.111792408	46.1963674519
h_lines	37.8429840065	9.68543149816
h_lines	54.7223274023	30.4459677928
h_lines	76.1741812181	89.5892496684
h_lines	53.9123014493	10.3336069577
h_lines	49.9122541211	90.1182587988
h_lines	47.656355383	67.9065346236
h_lines	43.6503892829	89.7956632908
h_lines	39.316256218	89.5848077344
h_lines	71.6122381021	90.0604855087
h_lines	75.0178357548	69.8969671002
h_lines	66.8368405692	69.6622586393
h_lines	62.5805090031	30.2616854607
h_lines	39.6791103736	30.3709322616
h_lines	63.8267725429	89.8024216912
h_lines	35.8436307776	29.7870923799
h_lines	40.6619982363	30.4825666502
h_lines	55.2476163139	69.7668491185
h_lines	64.2107431959	46.1965544279
